1.0080
0.0000,0.0000,0.0000,0.0000, 0.00, 
0.0005,0.0010,0.0005,0.0010,179.84, 
0.0025,0.0030,0.0025,0.0030,179.84, 
0.0071,0.0060,0.0071,0.0060,179.84, 
0.0151,0.0101,0.0151,0.0101,179.84, 
0.0277,0.0151,0.0277,0.0151,179.84, 
0.0459,0.0212,0.0459,0.0212,179.84, 
0.0706,0.0282,0.0705,0.0282,179.84, 
0.1028,0.0363,0.1028,0.0363,179.84, 
0.1437,0.0454,0.1436,0.0453,179.84, 
0.1942,0.0555,0.1939,0.0554,179.84, 
0.2547,0.0656,0.2543,0.0654,179.84, 
0.3254,0.0758,0.3247,0.0754,179.83, 
0.4062,0.0859,0.4052,0.0855,179.83, 
0.4972,0.0961,0.4957,0.0955,179.83, 
0.5984,0.1062,0.5961,0.1054,179.83, 
0.7097,0.1164,0.7065,0.1154,179.83, 
0.8312,0.1267,0.8269,0.1253,179.83, 
0.9630,0.1369,0.9572,0.1353,179.82, 
1.1050,0.1472,1.0974,0.1452,179.82, 
1.2574,0.1575,1.2475,0.1550,179.81, 
1.4200,0.1678,1.4075,0.1648,179.81, 
1.5930,0.1782,1.5772,0.1746,179.80, 
1.7763,0.1885,1.7567,0.1844,179.79, 
1.9701,0.1990,1.9460,0.1941,179.78, 
2.1743,0.2094,2.1450,0.2038,179.77, 
2.3889,0.2199,2.3537,0.2135,179.75, 
2.6142,0.2305,2.5720,0.2231,179.74, 
2.8499,0.2411,2.7999,0.2327,179.72, 
3.0963,0.2517,3.0373,0.2422,179.70, 
3.3534,0.2624,3.2843,0.2517,179.67, 
3.6212,0.2731,3.5407,0.2611,179.64, 
3.8997,0.2839,3.8065,0.2705,179.61, 
4.1890,0.2948,4.0816,0.2798,179.58, 
4.4892,0.3056,4.3661,0.2891,179.54, 
4.8003,0.3166,4.6597,0.2983,179.50, 
5.1224,0.3276,4.9626,0.3074,179.45, 
5.4556,0.3387,5.2746,0.3165,179.40, 
5.7999,0.3498,5.5956,0.3255,179.35, 
6.1553,0.3610,5.9256,0.3345,179.29, 
6.5220,0.3723,6.2645,0.3434,179.22, 
6.9000,0.3837,6.6123,0.3522,179.15, 
7.2894,0.3951,6.9688,0.3609,179.07, 
7.6897,0.4056,7.3335,0.3686,178.99, 
8.1000,0.4150,7.7054,0.3753,178.89, 
