1.4400
0.0000,0.0000,0.0000,0.0000, 0.00, 
0.0007,0.0014,0.0007,0.0014,-68.57, 
0.0036,0.0043,0.0036,0.0043,-68.57, 
0.0101,0.0086,0.0101,0.0086,-68.57, 
0.0216,0.0144,0.0216,0.0144,-68.57, 
0.0396,0.0216,0.0396,0.0216,-68.57, 
0.0655,0.0302,0.0655,0.0303,-68.57, 
0.1008,0.0403,0.1008,0.0403,-68.57, 
0.1468,0.0518,0.1469,0.0519,-68.57, 
0.2051,0.0647,0.2053,0.0649,-68.57, 
0.2770,0.0791,0.2774,0.0793,-68.57, 
0.3632,0.0934,0.3640,0.0938,-68.56, 
0.4638,0.1077,0.4650,0.1083,-68.56, 
0.5786,0.1220,0.5806,0.1228,-68.56, 
0.7077,0.1362,0.7107,0.1374,-68.56, 
0.8511,0.1505,0.8553,0.1519,-68.56, 
1.0086,0.1646,1.0146,0.1666,-68.55, 
1.1803,0.1788,1.1885,0.1812,-68.55, 
1.3661,0.1928,1.3771,0.1960,-68.54, 
1.5660,0.2069,1.5804,0.2107,-68.53, 
1.7799,0.2209,1.7985,0.2255,-68.52, 
2.0077,0.2348,2.0315,0.2404,-68.51, 
2.2494,0.2487,2.2794,0.2553,-68.50, 
2.5050,0.2625,2.5422,0.2703,-68.48, 
2.7744,0.2762,2.8200,0.2854,-68.46, 
3.0574,0.2899,3.1130,0.3005,-68.44, 
3.3541,0.3035,3.4211,0.3157,-68.41, 
3.6644,0.3170,3.7444,0.3310,-68.38, 
3.9881,0.3304,4.0831,0.3464,-68.35, 
4.3252,0.3438,4.4372,0.3618,-68.31, 
4.6756,0.3571,4.8068,0.3773,-68.27, 
5.0393,0.3702,5.1919,0.3930,-68.22, 
5.4160,0.3833,5.5928,0.4087,-68.16, 
5.8058,0.3963,6.0094,0.4245,-68.10, 
6.2085,0.4091,6.4419,0.4405,-68.03, 
6.6241,0.4219,6.8903,0.4565,-67.96, 
7.0523,0.4346,7.3549,0.4726,-67.87, 
7.4931,0.4471,7.8357,0.4889,-67.78, 
7.9464,0.4595,8.3328,0.5053,-67.68, 
8.4121,0.4718,8.8463,0.5218,-67.57, 
8.8900,0.4840,9.3764,0.5384,-67.45, 
9.3801,0.4961,9.9231,0.5551,-67.32, 
9.8821,0.5080,10.4867,0.5720,-67.18, 
10.3960,0.5198,11.0672,0.5890,-67.03, 
10.9216,0.5314,11.6648,0.6062,-66.86, 
11.4588,0.5429,12.2796,0.6235,-66.68, 
12.0074,0.5543,12.9118,0.6409,-66.49, 
12.5673,0.5656,13.5615,0.6584,-66.29, 
13.1384,0.5766,14.2288,0.6762,-66.07, 
13.7205,0.5876,14.9139,0.6940,-65.83, 
14.3128,0.5970,15.6161,0.7105,-65.58, 
14.9139,0.6051,16.3341,0.7255,-65.31, 
15.5223,0.6117,17.0663,0.7390,-65.03, 
16.1366,0.6169,17.8114,0.7511,-64.73, 
16.7555,0.6208,18.5677,0.7616,-64.41, 
17.3775,0.6233,19.3339,0.7707,-64.08, 
18.0013,0.6244,20.1083,0.7781,-63.74, 
18.6257,0.6243,20.8894,0.7840,-63.38, 
19.2493,0.6229,21.6755,0.7883,-63.01, 
19.8772,0.6329,22.4732,0.8071,-62.62, 
20.5087,0.6301,23.2817,0.8099,-62.21, 
21.1376,0.6275,24.0928,0.8125,-61.79, 
21.7637,0.6248,24.9067,0.8152,-61.36, 
22.3873,0.6223,25.7231,0.8177,-60.92, 
23.0083,0.6197,26.5421,0.8203,-60.47, 
23.6267,0.6172,27.3637,0.8228,-60.00, 
24.2427,0.6148,28.1877,0.8252,-59.52, 
24.8563,0.6124,29.0141,0.8276,-59.04, 
25.4676,0.6101,29.8428,0.8299,-58.54, 
26.0765,0.6079,30.6739,0.8321,-58.03, 
26.6833,0.6056,31.5071,0.8344,-57.51, 
27.2879,0.6036,32.3425,0.8364,-56.98, 
27.8904,0.6015,33.1800,0.8385,-56.44, 
28.4910,0.5996,34.0194,0.8404,-55.90, 
29.0897,0.5977,34.8607,0.8423,-55.34, 
29.6866,0.5960,35.7038,0.8440,-54.78, 
30.2817,0.5943,36.5487,0.8457,-54.20, 
