1.4400
0.0000,0.0000,0.0000,0.0000, 0.00, 
0.0007,0.0014,0.0007,0.0014,-7.00, 
0.0036,0.0043,0.0036,0.0043,-7.00, 
0.0101,0.0086,0.0101,0.0086,-7.00, 
0.0216,0.0144,0.0216,0.0144,-7.00, 
0.0396,0.0216,0.0396,0.0216,-7.00, 
0.0655,0.0302,0.0656,0.0303,-7.00, 
0.1007,0.0402,0.1009,0.0404,-7.00, 
0.1466,0.0516,0.1472,0.0520,-7.00, 
0.2046,0.0644,0.2058,0.0652,-7.00, 
0.2761,0.0786,0.2783,0.0798,-7.00, 
0.3618,0.0927,0.3654,0.0945,-6.99, 
0.4614,0.1066,0.4674,0.1094,-6.99, 
0.5750,0.1205,0.5842,0.1243,-6.98, 
0.7023,0.1341,0.7161,0.1395,-6.97, 
0.8432,0.1477,0.8632,0.1547,-6.95, 
0.9975,0.1610,1.0257,0.1702,-6.94, 
1.1650,0.1741,1.2038,0.1859,-6.91, 
1.3456,0.1871,1.3976,0.2017,-6.88, 
1.5391,0.1998,1.6073,0.2178,-6.84, 
1.7450,0.2122,1.8334,0.2342,-6.80, 
1.9633,0.2244,2.0759,0.2508,-6.74, 
2.1936,0.2363,2.3352,0.2677,-6.68, 
2.4356,0.2478,2.6116,0.2850,-6.60, 
2.6891,0.2591,2.9053,0.3025,-6.50, 
2.9537,0.2700,3.2167,0.3204,-6.40, 
3.2289,0.2806,3.5463,0.3386,-6.27, 
3.5146,0.2907,3.8942,0.3573,-6.13, 
3.8102,0.3005,4.2610,0.3763,-5.97, 
4.1153,0.3098,4.6471,0.3958,-5.78, 
4.4296,0.3187,5.0528,0.4157,-5.57, 
4.7520,0.3260,5.4778,0.4344,-5.34, 
5.0807,0.3315,5.9209,0.4518,-5.07, 
5.4142,0.3355,6.3808,0.4680,-4.78, 
5.7509,0.3379,6.8563,0.4829,-4.47, 
6.0893,0.3388,7.3459,0.4964,-4.12, 
6.4279,0.3384,7.8483,0.5083,-3.74, 
6.7653,0.3365,8.3619,0.5188,-3.34, 
7.1003,0.3334,8.8851,0.5277,-2.91, 
7.4316,0.3291,9.4164,0.5349,-2.45, 
7.7580,0.3237,9.9540,0.5403,-1.97, 
8.0790,0.3183,10.4970,0.5457,-1.46, 
8.3945,0.3128,11.0455,0.5512,-0.92, 
8.7047,0.3074,11.5993,0.5566,-0.37, 
9.0094,0.3021,12.1586,0.5619, 0.22, 
9.3089,0.2967,12.7231,0.5673, 0.82, 
9.6030,0.2915,13.2930,0.5725, 1.46, 
9.8918,0.2863,13.8682,0.5777, 2.11, 
10.1755,0.2811,14.4485,0.5829, 2.79, 
10.4541,0.2761,15.0339,0.5879, 3.50, 
10.7277,0.2711,15.6243,0.5929, 4.22, 
10.9964,0.2663,16.2196,0.5977, 4.97, 
11.2604,0.2616,16.8196,0.6024, 5.74, 
11.5197,0.2571,17.4243,0.6069, 6.53, 
11.7746,0.2527,18.0334,0.6113, 7.34, 
12.0253,0.2486,18.6467,0.6154, 8.18, 
12.2719,0.2446,19.2641,0.6194, 9.02, 
12.5146,0.2409,19.8854,0.6231, 9.89, 
12.7538,0.2374,20.5102,0.6266,10.78, 
12.9896,0.2342,21.1384,0.6298,11.68, 
13.2223,0.2312,21.7697,0.6328,12.59, 
13.4522,0.2286,22.4038,0.6354,13.52, 
13.6796,0.2262,23.0404,0.6378,14.45, 
13.9048,0.2242,23.6792,0.6398,15.40, 
14.1281,0.2224,24.3199,0.6416,16.36, 
14.3498,0.2210,24.9622,0.6430,17.32, 
14.5703,0.2199,25.6057,0.6441,18.29, 
14.7898,0.2192,26.2502,0.6448,19.27, 
15.0088,0.2187,26.8952,0.6453,20.24, 
15.2274,0.2186,27.5406,0.6454,21.22, 
15.4461,0.2188,28.1859,0.6452,22.20, 
15.6652,0.2193,28.8308,0.6447,23.17, 
15.8849,0.2201,29.4751,0.6439,24.15, 
16.1056,0.2212,30.1184,0.6428,25.11, 
16.3275,0.2226,30.7605,0.6414,26.08, 
16.5509,0.2242,31.4011,0.6398,27.03, 
16.7761,0.2261,32.0399,0.6379,27.98, 
17.0032,0.2282,32.6768,0.6358,28.92, 
17.2325,0.2305,33.3115,0.6335,29.85, 
17.4643,0.2330,33.9437,0.6310,30.77, 
17.6985,0.2356,34.5735,0.6284,31.67, 
17.9356,0.2384,35.2004,0.6256,32.57, 
18.1755,0.2414,35.8245,0.6226,33.45, 
18.4184,0.2444,36.4456,0.6196,34.32, 
18.6644,0.2476,37.0636,0.6164,35.17, 
18.9136,0.2508,37.6784,0.6132,36.01, 
19.1660,0.2541,38.2900,0.6099,36.83, 
19.4218,0.2575,38.8982,0.6065,37.64, 
19.6810,0.2609,39.5030,0.6031,38.43, 
19.9435,0.2643,40.1045,0.5997,39.21, 
20.2095,0.2677,40.7025,0.5963,39.97, 
20.4790,0.2711,41.2970,0.5929,40.71, 
20.7518,0.2746,41.8882,0.5894,41.44, 
21.0281,0.2780,42.4759,0.5860,42.15, 
21.3077,0.2814,43.0603,0.5826,42.85, 
21.5921,0.2873,43.6399,0.5767,43.53, 
21.8844,0.2974,44.2116,0.5666,44.17, 
22.1843,0.3024,44.7757,0.5616,44.77, 
22.4912,0.3115,45.3328,0.5525,45.35, 
22.8047,0.3156,45.8833,0.5484,45.89, 
23.1245,0.3239,46.4275,0.5401,46.41, 
23.4501,0.3273,46.9659,0.5367,46.89, 
23.7813,0.3350,47.4987,0.5290,47.36, 
24.1176,0.3378,48.0264,0.5262,47.79, 
24.4589,0.3448,48.5491,0.5192,48.21, 
24.8049,0.3471,49.0671,0.5169,48.60, 
25.1552,0.3536,49.5808,0.5104,48.98, 
25.5098,0.3554,50.0902,0.5086,49.33, 
25.8683,0.3616,50.5957,0.5024,49.67, 
26.2305,0.3630,51.0975,0.5010,49.99, 
26.5964,0.3687,51.5956,0.4953,50.29, 
26.9657,0.3698,52.0903,0.4942,50.58, 
27.3382,0.3752,52.5818,0.4888,50.85, 
27.7138,0.3760,53.0702,0.4880,51.11, 
28.0924,0.3812,53.5556,0.4828,51.36, 
28.4738,0.3817,54.0382,0.4823,51.59, 
28.8580,0.3866,54.5180,0.4774,51.81, 
29.2447,0.3869,54.9953,0.4771,52.02, 
29.6340,0.3916,55.4700,0.4724,52.21, 
30.0257,0.3917,55.9423,0.4723,52.40, 
30.4196,0.3962,56.4124,0.4678,52.57, 
30.8158,0.3962,56.8802,0.4678,52.73, 
31.2142,0.4005,57.3458,0.4635,52.89, 
31.6146,0.4003,57.8094,0.4637,53.03, 
32.0170,0.4046,58.2710,0.4594,53.17, 
32.4214,0.4042,58.7306,0.4598,53.30, 
32.8277,0.4083,59.1883,0.4557,53.41, 
33.2357,0.4078,59.6443,0.4562,53.52, 
33.6456,0.4119,60.0984,0.4521,53.62, 
34.0571,0.4113,60.5509,0.4527,53.72, 
34.4704,0.4152,61.0016,0.4488,53.80, 
34.8852,0.4145,61.4508,0.4495,53.88, 
35.3017,0.4184,61.8983,0.4456,53.95, 
35.7197,0.4176,62.3443,0.4464,54.02, 
36.1392,0.4214,62.7888,0.4426,54.08, 
36.5602,0.4206,63.2318,0.4434,54.13, 
36.9827,0.4243,63.6733,0.4397,54.17, 
37.4066,0.4235,64.1134,0.4405,54.21, 
37.8319,0.4271,64.5521,0.4369,54.24, 
38.2586,0.4262,64.9894,0.4378,54.26, 
38.6866,0.4298,65.4254,0.4342,54.28, 
39.1160,0.4289,65.8600,0.4351,54.29, 
39.5466,0.4325,66.2934,0.4315,54.30, 
39.9786,0.4315,66.7254,0.4325,54.30, 
40.4119,0.4350,67.1561,0.4290,54.29, 
40.8464,0.4340,67.5856,0.4300,54.28, 
41.2822,0.4376,68.0138,0.4264,54.26, 
41.7192,0.4365,68.4408,0.4275,54.24, 
42.1575,0.4400,68.8665,0.4240,54.21, 
42.5970,0.4390,69.2910,0.4250,54.18, 
43.0378,0.4425,69.7142,0.4215,54.14, 
43.4797,0.4414,70.1363,0.4226,54.09, 
43.9229,0.4449,70.5571,0.4191,54.04, 
44.3673,0.4439,70.9767,0.4201,53.98, 
44.8129,0.4473,71.3951,0.4167,53.92, 
45.2597,0.4463,71.8123,0.4177,53.85, 
45.7077,0.4498,72.2283,0.4142,53.78, 
46.1569,0.4487,72.6431,0.4153,53.70, 
46.6074,0.4522,73.0566,0.4118,53.62, 
47.0590,0.4511,73.4690,0.4129,53.53, 
47.5119,0.4546,73.8801,0.4094,53.43, 
47.9660,0.4536,74.2900,0.4104,53.33, 
48.4214,0.4571,74.6986,0.4069,53.22, 
48.8780,0.4561,75.1060,0.4079,53.11, 
49.3359,0.4596,75.5121,0.4044,52.99, 
49.7950,0.4586,75.9170,0.4054,52.87, 
50.2554,0.4622,76.3206,0.4018,52.74, 
50.7171,0.4612,76.7229,0.4028,52.60, 
51.1801,0.4648,77.1239,0.3992,52.46, 
51.6445,0.4639,77.5235,0.4001,52.31, 
52.1101,0.4675,77.9219,0.3965,52.16, 
52.5772,0.4666,78.3188,0.3974,51.99, 
53.0456,0.4702,78.7144,0.3938,51.83, 
53.5154,0.4694,79.1086,0.3946,51.65, 
53.9866,0.4731,79.5014,0.3909,51.47, 
54.4593,0.4723,79.8927,0.3917,51.29, 
54.9334,0.4760,80.2826,0.3880,51.10, 
55.4091,0.4752,80.6709,0.3888,50.90, 
55.8862,0.4791,81.0578,0.3849,50.69, 
56.3649,0.4783,81.4431,0.3857,50.47, 
56.8452,0.4822,81.8268,0.3818,50.25, 
57.3271,0.4816,82.2089,0.3824,50.02, 
57.8106,0.4855,82.5894,0.3785,49.79, 
58.2958,0.4849,82.9682,0.3791,49.54, 
58.7827,0.4889,83.3453,0.3751,49.29, 
59.2714,0.4884,83.7206,0.3756,49.03, 
59.7618,0.4925,84.0942,0.3715,48.76, 
60.2541,0.4921,84.4659,0.3719,48.49, 
60.7483,0.4962,84.8357,0.3678,48.20, 
61.2443,0.4959,85.2037,0.3681,47.91, 
61.7424,0.5002,85.5696,0.3638,47.61, 
62.2424,0.4999,85.9336,0.3641,47.30, 
62.7445,0.5043,86.2955,0.3597,46.97, 
63.2487,0.5041,86.6553,0.3599,46.64, 
63.7551,0.5086,87.0129,0.3554,46.30, 
64.2637,0.5086,87.3683,0.3554,45.95, 
64.7745,0.5132,87.7215,0.3508,45.59, 
65.2877,0.5132,88.0723,0.3508,45.22, 
65.8033,0.5179,88.4207,0.3461,44.83, 
66.3214,0.5182,88.7666,0.3458,44.44, 
66.8419,0.5230,89.1101,0.3410,44.03, 
67.3651,0.5233,89.4509,0.3407,43.62, 
67.8910,0.5283,89.7890,0.3357,43.19, 
68.4195,0.5288,90.1245,0.3352,42.74, 
68.9509,0.5339,90.4571,0.3301,42.29, 
69.4851,0.5346,90.7869,0.3294,41.82, 
70.0223,0.5398,91.1137,0.3242,41.34, 
70.5626,0.5406,91.4374,0.3234,40.84, 
71.1059,0.5461,91.7581,0.3179,40.33, 
71.6525,0.5470,92.0755,0.3170,39.81, 
72.2023,0.5526,92.3897,0.3114,39.27, 
72.7555,0.5537,92.7005,0.3103,38.71, 
73.3121,0.5595,93.0079,0.3045,38.14, 
73.8722,0.5608,93.3118,0.3032,37.55, 
74.4350,0.5648,93.6130,0.2992,36.95, 
74.9981,0.5614,93.9139,0.3026,36.35, 
75.5614,0.5652,94.2146,0.2988,35.75, 
76.1249,0.5617,94.5151,0.3023,35.15, 
76.6884,0.5655,94.8156,0.2985,34.54, 
77.2521,0.5618,95.1159,0.3022,33.94, 
77.8157,0.5654,95.4163,0.2986,33.34, 
78.3793,0.5617,95.7167,0.3023,32.73, 
78.9427,0.5652,96.0173,0.2988,32.13, 
79.5059,0.5613,96.3181,0.3027,31.53, 
80.0688,0.5646,96.6192,0.2994,30.93, 
80.6314,0.5606,96.9206,0.3034,30.33, 
81.1936,0.5638,97.2224,0.3002,29.73, 
81.7554,0.5597,97.5246,0.3043,29.14, 
82.3166,0.5628,97.8274,0.3012,28.55, 
82.8772,0.5585,98.1308,0.3055,27.96, 
83.4372,0.5615,98.4348,0.3025,27.37, 
83.9965,0.5571,98.7395,0.3069,26.79, 
84.5551,0.5600,99.0449,0.3040,26.21, 
85.1128,0.5555,99.3512,0.3085,25.63, 
85.6697,0.5582,99.6583,0.3058,25.06, 
86.2256,0.5536,99.9664,0.3104,24.49, 
86.7806,0.5563,100.2754,0.3077,23.93, 
87.3345,0.5516,100.5855,0.3124,23.37, 
87.8874,0.5542,100.8966,0.3098,22.81, 
88.4392,0.5493,101.2088,0.3147,22.27, 
88.9897,0.5518,101.5223,0.3122,21.72, 
89.5391,0.5469,101.8369,0.3171,21.18, 
90.0873,0.5493,102.1527,0.3147,20.65, 
90.6341,0.5444,102.4699,0.3196,20.13, 
91.1797,0.5467,102.7883,0.3173,19.60, 
91.7239,0.5417,103.1081,0.3223,19.09, 
92.2667,0.5439,103.4293,0.3201,18.58, 
92.8081,0.5389,103.7519,0.3251,18.08, 
93.3481,0.5411,104.0759,0.3229,17.59, 
93.8866,0.5359,104.4014,0.3281,17.10, 
94.4236,0.5381,104.7284,0.3259,16.62, 
94.9591,0.5329,105.0569,0.3311,16.14, 
95.4931,0.5351,105.3869,0.3289,15.67, 
96.0255,0.5298,105.7185,0.3342,15.21, 
96.5564,0.5319,106.0516,0.3321,14.76, 
97.0858,0.5267,106.3862,0.3373,14.31, 
97.6135,0.5288,106.7225,0.3352,13.88, 
98.1396,0.5235,107.0604,0.3405,13.44, 
98.6642,0.5256,107.3998,0.3384,13.02, 
99.1871,0.5203,107.7409,0.3437,12.60, 
99.7085,0.5224,108.0835,0.3416,12.19, 
100.2282,0.5171,108.4278,0.3469,11.79, 
100.7463,0.5191,108.7737,0.3449,11.40, 
101.2627,0.5138,109.1213,0.3502,11.01, 
101.7776,0.5159,109.4704,0.3481,10.63, 
102.2908,0.5106,109.8212,0.3534,10.26, 
